1.382827758789062500e-05,-1.617498274190063701e-01,8.248982690132498213e-03,4.890050873787145314e+00,1.005885509480569207e+00,6.820272379567167143e-01,1.302463811999729515e+01,-7.137948440887309509e-01,-1.838198157665156263e-01,3.026470799434582748e+00
8.628845214843750000e-03,-1.602884596741714629e-01,8.248347382438509304e-03,4.890603437459313696e+00,1.002919480805179342e+00,6.914325901863975776e-01,1.302467874943061865e+01,-7.108306687324319473e-01,-1.876979124126302578e-01,3.027012571237407634e+00
4.081082344055175781e-02,-1.588190926024262151e-01,8.268965030819183659e-03,4.891147472021049936e+00,9.998714252782063827e-01,7.008058710538833669e-01,1.302471870526913023e+01,-7.078242632058604489e-01,-1.915602181822553263e-01,3.027545776884903006e+00
4.084777832031250000e-02,-1.573417076930439529e-01,8.311047293098854441e-03,4.891682788864851084e+00,9.967410200819675214e-01,7.101467210554456289e-01,1.302475893266993623e+01,-7.047757470338646968e-01,-1.954064263963818660e-01,3.028070427642451712e+00
4.087400436401367188e-02,-1.558562851847591357e-01,8.374798861445719583e-03,4.892209218435193741e+00,9.935281612541392304e-01,7.194545927820070741e-01,1.302479995847290084e+01,-7.016852428568383093e-01,-1.992362302176408639e-01,3.028586533011040860e+00
4.089784622192382812e-02,-1.543628002854101622e-01,8.460418167396619935e-03,4.892726623843636879e+00,9.902328890683830265e-01,7.287285641083928178e-01,1.302484218717384401e+01,-6.985528766218985774e-01,-2.030493227100940434e-01,3.029094100115885535e+00
4.523086547851562500e-02,-1.528612210681234984e-01,8.568097909310318228e-03,4.893234909172682556e+00,9.868553571100147082e-01,7.379677318536309594e-01,1.302488595358994417e+01,-6.953787776937274678e-01,-2.068453968767522966e-01,3.029593133406857763e+00
5.015182495117187500e-02,-1.513515086769850193e-01,8.698025211364077136e-03,4.893734019920159106e+00,9.833954444387796867e-01,7.471713135731889999e-01,1.302493148453377358e+01,-6.921630788465065187e-01,-2.106241456717134752e-01,3.030083634773892864e+00
5.024600028991699219e-02,-1.498336183189947768e-01,8.850381605590845746e-03,4.894223935869342235e+00,9.798529668994349073e-01,7.563386721677111124e-01,1.302497881446909567e+01,-6.889059161189169389e-01,-2.143852619824249683e-01,3.030565604123056200e+00
5.448389053344726562e-02,-1.483075036411652392e-01,9.025342215684815927e-03,4.894704658123723462e+00,9.762283828375877270e-01,7.654692481135246807e-01,1.302502684725303084e+01,-6.856074285449489381e-01,-2.181284385772905565e-01,3.031039040373057158e+00
5.600094795227050781e-02,-1.467731195685063328e-01,9.223075240099364719e-03,4.895176196167035698e+00,9.725223819092096988e-01,7.745625514204137474e-01,1.302507486300546802e+01,-6.822677577978184527e-01,-2.218533680168434941e-01,3.031503942737389323e+00
